Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | x=  346.1900 | Y=  119.1300
particle=  1 | x=  335.3600 | Y=  135.3600
particle=  2 | x=  319.1300 | Y=  146.1900
particle=  3 | x=  300.0000 | Y=  150.0000
particle=  4 | x=  280.8700 | Y=  146.1900
particle=  5 | x=  264.6400 | Y=  135.3600
particle=  6 | x=  253.8100 | Y=  119.1300
particle=  7 | x=  250.0000 | Y=  100.0000
particle=  8 | x=  253.8100 | Y=   80.8700
particle=  9 | x=  264.6400 | Y=   64.6400
particle= 10 | x=  280.8700 | Y=   53.8100
particle= 11 | x=  300.0000 | Y=   50.0000
particle= 12 | x=  319.1300 | Y=   53.8100
particle= 13 | x=  335.3600 | Y=   64.6400
particle= 14 | x=  346.1900 | Y=   80.8700
particle= 15 | x=  350.0000 | Y=  100.0000
STEP   0 | DAY   20
particle=  0 | newX=  363.6749 | newY=  135.5890
particle=  1 | newX=  348.3923 | newY=  158.5490
particle=  2 | newX=  325.5087 | newY=  173.8803
particle=  3 | newX=  298.5267 | newY=  179.2665
particle=  4 | newX=  271.5426 | newY=  173.8812
particle=  5 | newX=  248.6549 | newY=  158.5553
particle=  6 | newX=  233.3715 | newY=  135.6063
particle=  7 | newX=  228.0045 | newY=  108.5487
particle=  8 | newX=  233.3809 | newY=   81.4897
particle=  9 | newX=  248.6730 | newY=   58.5362
particle= 10 | newX=  271.5677 | newY=   43.2028
particle= 11 | newX=  298.5561 | newY=   37.8073
particle= 12 | newX=  325.5383 | newY=   43.1814
particle= 13 | newX=  348.4167 | newY=   58.5007
particle= 14 | newX=  363.6888 | newY=   81.4517
particle= 15 | newX=  369.0492 | newY=  108.5187
STEP   1 | DAY   40
particle=  0 | newX=  374.3963 | newY=  151.0902
particle=  1 | newX=  355.4597 | newY=  177.6752
particle=  2 | newX=  328.2880 | newY=  195.0469
particle=  3 | newX=  296.8173 | newY=  200.9741
particle=  4 | newX=  265.4462 | newY=  194.7233
particle=  5 | newX=  238.5515 | newY=  177.1679
particle=  6 | newX=  219.9865 | newY=  150.6553
particle=  7 | newX=  212.5467 | newY=  118.7945
particle=  8 | newX=  217.6749 | newY=   86.0173
particle=  9 | newX=  235.1618 | newY=   57.1894
particle= 10 | newX=  262.9133 | newY=   37.1201
particle= 11 | newX=  296.7378 | newY=   29.6442
particle= 12 | newX=  330.8338 | newY=   36.4847
particle= 13 | newX=  359.1441 | newY=   56.3976
particle= 14 | newX=  377.0137 | newY=   85.5718
