Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | x=   80.0000 | Y= 1195.0000
particle=  1 | x=   85.0000 | Y= 1195.0000
particle=  2 | x=   90.0000 | Y= 1195.0000
particle=  3 | x=   95.0000 | Y= 1195.0000
particle=  4 | x=  100.0000 | Y= 1195.0000
particle=  5 | x=  105.0000 | Y= 1195.0000
particle=  6 | x=  110.0000 | Y= 1195.0000
particle=  7 | x=  115.0000 | Y= 1195.0000
particle=  8 | x=  120.0000 | Y= 1195.0000
particle=  9 | x=  125.0000 | Y= 1195.0000
STEP   0 | DAY   20
particle=  0 | newX=   80.6714 | newY= 1184.8987
particle=  1 | newX=   85.6672 | newY= 1184.8945
particle=  2 | newX=   90.6630 | newY= 1184.8903
particle=  3 | newX=   95.6588 | newY= 1184.8861
particle=  4 | newX=  100.6545 | newY= 1184.8819
particle=  5 | newX=  105.6502 | newY= 1184.8778
particle=  6 | newX=  110.6458 | newY= 1184.8737
particle=  7 | newX=  115.6414 | newY= 1184.8696
particle=  8 | newX=  120.6370 | newY= 1184.8655
particle=  9 | newX=  125.6326 | newY= 1184.8614
STEP   1 | DAY   40
particle=  0 | newX=   81.3508 | newY= 1174.7884
particle=  1 | newX=   86.3424 | newY= 1174.7799
particle=  2 | newX=   91.3340 | newY= 1174.7714
particle=  3 | newX=   96.3255 | newY= 1174.7630
particle=  4 | newX=  101.3169 | newY= 1174.7546
particle=  5 | newX=  106.3082 | newY= 1174.7462
particle=  6 | newX=  111.2995 | newY= 1174.7379
particle=  7 | newX=  116.2906 | newY= 1174.7297
particle=  8 | newX=  121.2818 | newY= 1174.7214
particle=  9 | newX=  126.2728 | newY= 1174.7133
STEP   2 | DAY   60
particle=  0 | newX=   82.0384 | newY= 1164.6690
particle=  1 | newX=   87.0258 | newY= 1164.6561
particle=  2 | newX=   92.0131 | newY= 1164.6433
particle=  3 | newX=   97.0002 | newY= 1164.6305
particle=  4 | newX=  101.9873 | newY= 1164.6178
particle=  5 | newX=  106.9742 | newY= 1164.6052
particle=  6 | newX=  111.9611 | newY= 1164.5926
particle=  7 | newX=  116.9478 | newY= 1164.5801
particle=  8 | newX=  121.9344 | newY= 1164.5677
particle=  9 | newX=  126.9209 | newY= 1164.5553
STEP   3 | DAY   80
particle=  0 | newX=   82.7344 | newY= 1154.5403
particle=  1 | newX=   87.7175 | newY= 1154.5230
particle=  2 | newX=   92.7005 | newY= 1154.5058
particle=  3 | newX=   97.6833 | newY= 1154.4886
particle=  4 | newX=  102.6659 | newY= 1154.4715
particle=  5 | newX=  107.6484 | newY= 1154.4545
particle=  6 | newX=  112.6308 | newY= 1154.4376
particle=  7 | newX=  117.6130 | newY= 1154.4208
particle=  8 | newX=  122.5950 | newY= 1154.4041
particle=  9 | newX=  127.5769 | newY= 1154.3874
STEP   4 | DAY  100
particle=  0 | newX=   83.4390 | newY= 1144.4023
particle=  1 | newX=   88.4177 | newY= 1144.3805
particle=  2 | newX=   93.3963 | newY= 1144.3587
particle=  3 | newX=   98.3747 | newY= 1144.3371
particle=  4 | newX=  103.3529 | newY= 1144.3155
particle=  5 | newX=  108.3309 | newY= 1144.2941
particle=  6 | newX=  113.3087 | newY= 1144.2728
particle=  7 | newX=  118.2863 | newY= 1144.2516
particle=  8 | newX=  123.2638 | newY= 1144.2305
particle=  9 | newX=  128.2411 | newY= 1144.2095
STEP   5 | DAY  120
particle=  0 | newX=   84.1521 | newY= 1134.2548
particle=  1 | newX=   89.1265 | newY= 1134.2284
particle=  2 | newX=   94.1007 | newY= 1134.2020
particle=  3 | newX=   99.0746 | newY= 1134.1758
particle=  4 | newX=  104.0483 | newY= 1134.1497
particle=  5 | newX=  109.0218 | newY= 1134.1238
particle=  6 | newX=  113.9950 | newY= 1134.0980
particle=  7 | newX=  118.9681 | newY= 1134.0723
particle=  8 | newX=  123.9409 | newY= 1134.0468
particle=  9 | newX=  128.9135 | newY= 1134.0215
STEP   6 | DAY  140
particle=  0 | newX=   84.8741 | newY= 1124.0977
particle=  1 | newX=   89.8441 | newY= 1124.0665
particle=  2 | newX=   94.8138 | newY= 1124.0355
particle=  3 | newX=   99.7832 | newY= 1124.0047
particle=  4 | newX=  104.7524 | newY= 1123.9740
particle=  5 | newX=  109.7213 | newY= 1123.9435
particle=  6 | newX=  114.6899 | newY= 1123.9131
particle=  7 | newX=  119.6583 | newY= 1123.8829
particle=  8 | newX=  124.6264 | newY= 1123.8529
particle=  9 | newX=  129.5942 | newY= 1123.8230
STEP   7 | DAY  160
particle=  0 | newX=   85.6050 | newY= 1113.9308
particle=  1 | newX=   90.5706 | newY= 1113.8949
particle=  2 | newX=   95.5358 | newY= 1113.8592
particle=  3 | newX=  100.5007 | newY= 1113.8236
particle=  4 | newX=  105.4653 | newY= 1113.7882
particle=  5 | newX=  110.4295 | newY= 1113.7530
particle=  6 | newX=  115.3935 | newY= 1113.7180
particle=  7 | newX=  120.3572 | newY= 1113.6832
particle=  8 | newX=  125.3205 | newY= 1113.6486
particle=  9 | newX=  130.2836 | newY= 1113.6141
STEP   8 | DAY  180
particle=  0 | newX=   86.3451 | newY= 1103.7540
particle=  1 | newX=   91.3062 | newY= 1103.7133
particle=  2 | newX=   96.2668 | newY= 1103.6727
particle=  3 | newX=  101.2271 | newY= 1103.6323
particle=  4 | newX=  106.1871 | newY= 1103.5922
particle=  5 | newX=  111.1467 | newY= 1103.5522
particle=  6 | newX=  116.1060 | newY= 1103.5125
particle=  7 | newX=  121.0649 | newY= 1103.4730
particle=  8 | newX=  126.0234 | newY= 1103.4337
particle=  9 | newX=  130.9816 | newY= 1103.3946
STEP   9 | DAY  200
particle=  0 | newX=   87.0945 | newY= 1093.5672
particle=  1 | newX=   92.0510 | newY= 1093.5215
particle=  2 | newX=   97.0071 | newY= 1093.4760
particle=  3 | newX=  101.9628 | newY= 1093.4308
particle=  4 | newX=  106.9180 | newY= 1093.3858
particle=  5 | newX=  111.8729 | newY= 1093.3410
particle=  6 | newX=  116.8274 | newY= 1093.2965
particle=  7 | newX=  121.7815 | newY= 1093.2521
particle=  8 | newX=  126.7352 | newY= 1093.2081
particle=  9 | newX=  131.6886 | newY= 1093.1643
STEP  10 | DAY  220
particle=  0 | newX=   87.8534 | newY= 1083.3702
particle=  1 | newX=   92.8053 | newY= 1083.3195
particle=  2 | newX=   97.7567 | newY= 1083.2690
particle=  3 | newX=  102.7077 | newY= 1083.2188
particle=  4 | newX=  107.6583 | newY= 1083.1689
particle=  5 | newX=  112.6084 | newY= 1083.1191
particle=  6 | newX=  117.5581 | newY= 1083.0697
particle=  7 | newX=  122.5073 | newY= 1083.0205
particle=  8 | newX=  127.4561 | newY= 1082.9716
particle=  9 | newX=  132.4045 | newY= 1082.9230
STEP  11 | DAY  240
particle=  0 | newX=   88.6219 | newY= 1073.1629
