Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | x=  280.0000 | Y=  695.0000
particle=  1 | x=  285.0000 | Y=  695.0000
particle=  2 | x=  290.0000 | Y=  695.0000
particle=  3 | x=  295.0000 | Y=  695.0000
particle=  4 | x=  300.0000 | Y=  695.0000
particle=  5 | x=  305.0000 | Y=  695.0000
particle=  6 | x=  310.0000 | Y=  695.0000
particle=  7 | x=  315.0000 | Y=  695.0000
particle=  8 | x=  320.0000 | Y=  695.0000
particle=  9 | x=  325.0000 | Y=  695.0000
STEP   0 | DAY   15
particle=  0 | newX=  280.7266 | newY=  686.7045
particle=  1 | newX=  285.7170 | newY=  686.6993
particle=  2 | newX=  290.7074 | newY=  686.6942
particle=  3 | newX=  295.6977 | newY=  686.6892
particle=  4 | newX=  300.6880 | newY=  686.6844
particle=  5 | newX=  305.6782 | newY=  686.6797
particle=  6 | newX=  310.6685 | newY=  686.6751
particle=  7 | newX=  315.6587 | newY=  686.6707
particle=  8 | newX=  320.6489 | newY=  686.6664
particle=  9 | newX=  325.6392 | newY=  686.6622
STEP   1 | DAY   30
particle=  0 | newX=  281.4607 | newY=  678.3921
particle=  1 | newX=  286.4412 | newY=  678.3816
particle=  2 | newX=  291.4217 | newY=  678.3714
particle=  3 | newX=  296.4021 | newY=  678.3614
particle=  4 | newX=  301.3825 | newY=  678.3518
particle=  5 | newX=  306.3628 | newY=  678.3423
particle=  6 | newX=  311.3431 | newY=  678.3332
particle=  7 | newX=  316.3234 | newY=  678.3243
particle=  8 | newX=  321.3037 | newY=  678.3157
particle=  9 | newX=  326.2839 | newY=  678.3074
STEP   2 | DAY   45
particle=  0 | newX=  282.2021 | newY=  670.0624
particle=  1 | newX=  287.1727 | newY=  670.0466
particle=  2 | newX=  292.1431 | newY=  670.0312
particle=  3 | newX=  297.1134 | newY=  670.0162
particle=  4 | newX=  302.0836 | newY=  670.0017
particle=  5 | newX=  307.0538 | newY=  669.9875
particle=  6 | newX=  312.0240 | newY=  669.9738
particle=  7 | newX=  316.9941 | newY=  669.9605
particle=  8 | newX=  321.9641 | newY=  669.9476
particle=  9 | newX=  326.9342 | newY=  669.9352
STEP   3 | DAY   60
particle=  0 | newX=  282.9511 | newY=  661.7149
particle=  1 | newX=  287.9114 | newY=  661.6937
particle=  2 | newX=  292.8715 | newY=  661.6731
particle=  3 | newX=  297.8315 | newY=  661.6531
particle=  4 | newX=  302.7913 | newY=  661.6337
particle=  5 | newX=  307.7512 | newY=  661.6148
particle=  6 | newX=  312.7109 | newY=  661.5966
particle=  7 | newX=  317.6706 | newY=  661.5788
particle=  8 | newX=  322.6303 | newY=  661.5617
particle=  9 | newX=  327.5899 | newY=  661.5450
STEP   4 | DAY   75
particle=  0 | newX=  283.7076 | newY=  653.3491
particle=  1 | newX=  288.6573 | newY=  653.3225
particle=  2 | newX=  293.6069 | newY=  653.2967
particle=  3 | newX=  298.5563 | newY=  653.2717
particle=  4 | newX=  303.5056 | newY=  653.2474
particle=  5 | newX=  308.4548 | newY=  653.2238
particle=  6 | newX=  313.4039 | newY=  653.2009
particle=  7 | newX=  318.3530 | newY=  653.1787
particle=  8 | newX=  323.3020 | newY=  653.1573
particle=  9 | newX=  328.2510 | newY=  653.1366
STEP   5 | DAY   90
particle=  0 | newX=  284.4716 | newY=  644.9645
particle=  1 | newX=  289.4106 | newY=  644.9325
particle=  2 | newX=  294.3493 | newY=  644.9015
particle=  3 | newX=  299.2879 | newY=  644.8714
particle=  4 | newX=  304.2264 | newY=  644.8421
particle=  5 | newX=  309.1647 | newY=  644.8138
particle=  6 | newX=  314.1030 | newY=  644.7864
particle=  7 | newX=  319.0411 | newY=  644.7598
particle=  8 | newX=  323.9793 | newY=  644.7342
particle=  9 | newX=  328.9174 | newY=  644.7094
STEP   6 | DAY  105
particle=  0 | newX=  285.2432 | newY=  636.5605
particle=  1 | newX=  290.1711 | newY=  636.5231
particle=  2 | newX=  295.0988 | newY=  636.4868
particle=  3 | newX=  300.0263 | newY=  636.4516
particle=  4 | newX=  304.9536 | newY=  636.4175
particle=  5 | newX=  309.8808 | newY=  636.3844
particle=  6 | newX=  314.8080 | newY=  636.3524
particle=  7 | newX=  319.7350 | newY=  636.3215
particle=  8 | newX=  324.6620 | newY=  636.2917
particle=  9 | newX=  329.5890 | newY=  636.2628
STEP   7 | DAY  120
particle=  0 | newX=  286.0223 | newY=  628.1366
particle=  1 | newX=  290.9389 | newY=  628.0938
particle=  2 | newX=  295.8552 | newY=  628.0522
particle=  3 | newX=  300.7714 | newY=  628.0119
particle=  4 | newX=  305.6873 | newY=  627.9729
particle=  5 | newX=  310.6031 | newY=  627.9351
particle=  6 | newX=  315.5188 | newY=  627.8986
particle=  7 | newX=  320.4345 | newY=  627.8633
particle=  8 | newX=  325.3501 | newY=  627.8293
particle=  9 | newX=  330.2657 | newY=  627.7965
STEP   8 | DAY  135
particle=  0 | newX=  286.8089 | newY=  619.6922
particle=  1 | newX=  291.7139 | newY=  619.6439
particle=  2 | newX=  296.6186 | newY=  619.5970
particle=  3 | newX=  301.5231 | newY=  619.5516
particle=  4 | newX=  306.4274 | newY=  619.5077
particle=  5 | newX=  311.3315 | newY=  619.4652
particle=  6 | newX=  316.2355 | newY=  619.4242
particle=  7 | newX=  321.1395 | newY=  619.3846
particle=  8 | newX=  326.0434 | newY=  619.3465
particle=  9 | newX=  330.9473 | newY=  619.3097
STEP   9 | DAY  150
particle=  0 | newX=  287.6031 | newY=  611.2266
particle=  1 | newX=  292.4962 | newY=  611.1728
particle=  2 | newX=  297.3890 | newY=  611.1206
particle=  3 | newX=  302.2815 | newY=  611.0701
particle=  4 | newX=  307.1737 | newY=  611.0213
particle=  5 | newX=  312.0659 | newY=  610.9742
particle=  6 | newX=  316.9579 | newY=  610.9287
particle=  7 | newX=  321.8498 | newY=  610.8848
particle=  8 | newX=  326.7418 | newY=  610.8426
particle=  9 | newX=  331.6337 | newY=  610.8020
STEP  10 | DAY  165
particle=  0 | newX=  288.4049 | newY=  602.7391
particle=  1 | newX=  293.2857 | newY=  602.6798
particle=  2 | newX=  298.1662 | newY=  602.6223
particle=  3 | newX=  303.0463 | newY=  602.5668
particle=  4 | newX=  307.9263 | newY=  602.5131
