Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | x=  780.0000 | Y= 1095.0000
particle=  1 | x=  785.0000 | Y= 1095.0000
particle=  2 | x=  790.0000 | Y= 1095.0000
particle=  3 | x=  795.0000 | Y= 1095.0000
particle=  4 | x=  800.0000 | Y= 1095.0000
particle=  5 | x=  805.0000 | Y= 1095.0000
particle=  6 | x=  810.0000 | Y= 1095.0000
particle=  7 | x=  815.0000 | Y= 1095.0000
particle=  8 | x=  820.0000 | Y= 1095.0000
particle=  9 | x=  825.0000 | Y= 1095.0000
STEP   0 | DAY   20
particle=  0 | newX=  779.8354 | newY= 1084.4839
particle=  1 | newX=  784.8278 | newY= 1084.4848
particle=  2 | newX=  789.8203 | newY= 1084.4858
particle=  3 | newX=  794.8128 | newY= 1084.4868
particle=  4 | newX=  799.8052 | newY= 1084.4879
particle=  5 | newX=  804.7977 | newY= 1084.4890
particle=  6 | newX=  809.7902 | newY= 1084.4902
particle=  7 | newX=  814.7826 | newY= 1084.4914
particle=  8 | newX=  819.7751 | newY= 1084.4927
particle=  9 | newX=  824.7676 | newY= 1084.4941
STEP   1 | DAY   40
particle=  0 | newX=  779.6691 | newY= 1073.9519
particle=  1 | newX=  784.6540 | newY= 1073.9537
particle=  2 | newX=  789.6388 | newY= 1073.9556
particle=  3 | newX=  794.6236 | newY= 1073.9577
particle=  4 | newX=  799.6084 | newY= 1073.9598
particle=  5 | newX=  804.5933 | newY= 1073.9621
particle=  6 | newX=  809.5781 | newY= 1073.9644
particle=  7 | newX=  814.5630 | newY= 1073.9669
particle=  8 | newX=  819.5478 | newY= 1073.9695
particle=  9 | newX=  824.5327 | newY= 1073.9721
STEP   2 | DAY   60
particle=  0 | newX=  779.5013 | newY= 1063.4035
particle=  1 | newX=  784.4784 | newY= 1063.4062
particle=  2 | newX=  789.4554 | newY= 1063.4091
particle=  3 | newX=  794.4325 | newY= 1063.4122
particle=  4 | newX=  799.4096 | newY= 1063.4154
particle=  5 | newX=  804.3867 | newY= 1063.4188
particle=  6 | newX=  809.3638 | newY= 1063.4224
particle=  7 | newX=  814.3409 | newY= 1063.4261
particle=  8 | newX=  819.3181 | newY= 1063.4300
particle=  9 | newX=  824.2952 | newY= 1063.4340
