Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | x= 1180.0000 | Y=  995.0000
particle=  1 | x= 1185.0000 | Y=  995.0000
particle=  2 | x= 1190.0000 | Y=  995.0000
particle=  3 | x= 1195.0000 | Y=  995.0000
particle=  4 | x= 1200.0000 | Y=  995.0000
particle=  5 | x=  805.0000 | Y=  995.0000
particle=  6 | x= 1210.0000 | Y=  995.0000
particle=  7 | x= 1215.0000 | Y=  995.0000
particle=  8 | x= 1220.0000 | Y=  995.0000
particle=  9 | x= 1225.0000 | Y=  995.0000
STEP   0 | DAY   20
particle=  0 | newX= 1179.1752 | newY=  984.6066
particle=  1 | newX= 1184.1689 | newY=  984.6127
particle=  2 | newX= 1189.1626 | newY=  984.6188
particle=  3 | newX= 1194.1564 | newY=  984.6251
particle=  4 | newX= 1199.1503 | newY=  984.6313
particle=  5 | newX=  804.7742 | newY=  984.3272
particle=  6 | newX= 1209.1382 | newY=  984.6439
particle=  7 | newX= 1214.1323 | newY=  984.6503
particle=  8 | newX= 1219.1265 | newY=  984.6567
particle=  9 | newX= 1224.1207 | newY=  984.6631
STEP   1 | DAY   40
particle=  0 | newX= 1178.3387 | newY=  974.1988
particle=  1 | newX= 1183.3260 | newY=  974.2112
particle=  2 | newX= 1188.3133 | newY=  974.2236
particle=  3 | newX= 1193.3009 | newY=  974.2361
particle=  4 | newX= 1198.2885 | newY=  974.2488
particle=  5 | newX=  804.5464 | newY=  973.6356
particle=  6 | newX= 1208.2642 | newY=  974.2743
particle=  7 | newX= 1213.2523 | newY=  974.2872
particle=  8 | newX= 1218.2405 | newY=  974.3001
particle=  9 | newX= 1223.2289 | newY=  974.3131
STEP   2 | DAY   60
particle=  0 | newX= 1177.4902 | newY=  963.7764
particle=  1 | newX= 1182.4709 | newY=  963.7951
particle=  2 | newX= 1187.4519 | newY=  963.8140
particle=  3 | newX= 1192.4330 | newY=  963.8330
particle=  4 | newX= 1197.4143 | newY=  963.8522
particle=  5 | newX=  804.3164 | newY=  962.9249
particle=  6 | newX= 1207.3777 | newY=  963.8908
particle=  7 | newX= 1212.3597 | newY=  963.9104
particle=  8 | newX= 1217.3419 | newY=  963.9300
particle=  9 | newX= 1222.3243 | newY=  963.9498
STEP   3 | DAY   80
particle=  0 | newX= 1176.6294 | newY=  953.3390
particle=  1 | newX= 1181.6035 | newY=  953.3643
particle=  2 | newX= 1186.5779 | newY=  953.3897
particle=  3 | newX= 1191.5526 | newY=  953.4154
particle=  4 | newX= 1196.5275 | newY=  953.4412
particle=  5 | newX=  804.0844 | newY=  952.1949
particle=  6 | newX= 1206.4783 | newY=  953.4933
particle=  7 | newX= 1211.4541 | newY=  953.5196
particle=  8 | newX= 1216.4302 | newY=  953.5461
particle=  9 | newX= 1221.4066 | newY=  953.5728
